Price,Neighborhood,Size,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
"$2,775 ", (Adams Morgan),/ 3br - 1300ft,17-Sep,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5226087481.html,5226087481,2015,9,18
"$3,740 "," (Adams Morgan, NW)",/ 2br - 1213ft,17-Sep,A 3 bedroom in Adams Morgan? YES please!,https://washingtondc.craigslist.org/doc/apa/5226041487.html,5226041487,2015,9,18
"$2,446 ", (Adams Morgan),/ 2br - 1213ft,17-Sep,HUGE 2 bedroom with 2 full bath Adams Morgan *Move in Special,https://washingtondc.craigslist.org/doc/apa/5225998628.html,5225998628,2015,9,18
"$2,775 ", (Adams Morgan),/ 1br - ,17-Sep,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5225996036.html,5225996036,2015,9,18
"$2,100 ", (Adams Morgan / Kalorama Triangle),/ 1br - 500ft,17-Sep,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5198085771.html,5198085771,2015,9,18
"$1,800 ", (Adams Morgan),/ 2br - 780ft,17-Sep,"Adams Morgan 1BR/1BA, nice views, great light",https://washingtondc.craigslist.org/doc/apa/5225794341.html,5225794341,2015,9,18
"$2,844 ", (Adams Morgan),/ 1br - 600ft,16-Sep,Don't Miss this 2 Bdrm Special in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5225326215.html,5225326215,2015,9,18
"$1,699 ", (Adams Morgan),/ 1br - ,16-Sep,REDUCED RENTS! The Quarry Apartments- NOW LEASING in Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5195314008.html,5195314008,2015,9,18
"$2,095 ", (Adams Morgan and Kalorama Triangle),/ 2br - 1213ft,16-Sep,Awesome Apt in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5190399125.html,5190399125,2015,9,18
"$2,100 ", (Adams Morgan / Kalorama Triangle),/ 2br - ,16-Sep,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5196139422.html,5196139422,2015,9,18
"$2,446 ", (Adams Morgan),/ 1br - ,16-Sep,HUGE 2 bedroom with 2 full bath Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5224935072.html,5224935072,2015,9,18
"$2,295 ", (ADAMS MORGAN),/ 2br - 1213ft,16-Sep,NEWLY RENOVATED TWO BED TWO BATH APARTMENT IN ADAMS MORGAN,https://washingtondc.craigslist.org/doc/apa/5224429081.html,5224429081,2015,9,18
"$1,950 ", (Adams Morgan),/ 1br - 500ft,16-Sep,Beautiful Condo with Spacious Living Room in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5224412354.html,5224412354,2015,9,18
"$2,446 ", (Adams Morgan),/ 1br - ,16-Sep,HUGE 2 bedroom with 2 full bath Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5224405804.html,5224405804,2015,9,18
"$1,800 ", (Adams Morgan),/ 2br - 1213ft,16-Sep,Adams Morgan - 1br/1ba - nice views - wood floors,https://washingtondc.craigslist.org/doc/apa/5224265932.html,5224265932,2015,9,18
"$1,750 ", (Adams Morgan),/ 2br - 1200ft,15-Sep,Bright and sunny apartment in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5222327503.html,5222327503,2015,9,18
"$2,446 ", (Adams Morgan),/ 1br - 611ft,14-Sep,HUGE 2 bedroom with 2 full bath Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5221717756.html,5221717756,2015,9,18
"$2,600 ", (Columbia Heights / Adams Morgan),/ 1br - 501ft,14-Sep,HUGE 2BR w/ 2 full baths - Adams Morgan short walk to Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5182675957.html,5182675957,2015,9,18
"$1,306 ", (16th St/ short walk 2 Metro/ Columbia Heights / Adams Morgan),/ 1br - 1250ft,14-Sep,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5205124177.html,5205124177,2015,9,18
"$1,500 ", (Adams Morgan),/ 2br - 1213ft,14-Sep,Amazing One Bedroom in Adams Morgan at Great Price!,https://washingtondc.craigslist.org/doc/apa/5221286065.html,5221286065,2015,9,18
"$1,800 ", (Adams Morgan),/ 1br - 501ft,14-Sep,"Adams Morgan 1BR/1BA, nice views",https://washingtondc.craigslist.org/doc/apa/5220959377.html,5220959377,2015,9,18
"$1,525 ", (DuPont Circle / Kalorama / Adams Morgan),/ 1br - 593ft,12-Sep,1 Month FREE! Adams Morgan / kalorama / DuPont Circle,https://washingtondc.craigslist.org/doc/apa/5189042962.html,5189042962,2015,9,18
"$2,750 ", (Adams Morgan),/ 1br - 515ft,16-Sep,Light-filled 1 bedroom condo available in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5225076023.html,5225076023,2015,9,18
"$2,446 ", (Adams Morgan),/ 1br - ,11-Sep,HUGE top floor 2 bedroom - Adams Morgan ONE MONTH FREE,https://washingtondc.craigslist.org/doc/apa/5217098125.html,5217098125,2015,9,18
"$1,700 ", (2550 17th St and Columbia Road),/ 1br - 650ft,15-Sep,Brand New luxurious contemporary studio efficiency in Adams Morgan!!,https://washingtondc.craigslist.org/doc/apa/5175967277.html,5175967277,2015,9,18
"$1,800 ", (Adams Morgan),/ 1br - ,11-Sep,"Adams Morgan 1BR/1BA, wood floors, nice views, great light",https://washingtondc.craigslist.org/doc/apa/5216603416.html,5216603416,2015,9,18
"$1,840 ", (Adams Morgan),/ 1br - 550ft,15-Sep,1 Bedroom in Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5223149030.html,5223149030,2015,9,18
"$1,695 ", (Adams Morgan),/ 2br - ,11-Sep,Perfect Location! Quiet Surroundings in the Heart of Adams Morgan-1 Br,https://washingtondc.craigslist.org/doc/apa/5216535131.html,5216535131,2015,9,18
"$1,995 ", (DC Adams Morgan),/ 1br - 650ft,18-Sep,Beautiful 1Bdr in Quiet Adams Morgan Location,https://washingtondc.craigslist.org/doc/apa/5200000863.html,5200000863,2015,9,18
"$1,995 ", (Columbia Rd NW),/ 1br - ,18-Sep,"Adams Morgan, Woodley Park, One bedroom, Utilities Included",https://washingtondc.craigslist.org/doc/apa/5207131733.html,5207131733,2015,9,18
"$1,250 ", ,/ 1br - ,18-Sep,Large Studio in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227953461.html,5227953461,2015,9,18
Price,Neighborhood,Size,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
$2100, (Kalorama / Adams Morgan),/ 1br - ,Sep 25,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5239082529.html,5239082529,2015,9,26
$2085, (Kalorama & Adams Morgan),/ 1br - ,Sep 25,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227770904.html,5227770904,2015,9,26
$1955, (Adams Morgan),/ 1br - 670ft,Sep 25,1 Bedroom in Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5238296993.html,5238296993,2015,9,26
$2100, (Kalorama & Adams Morgan),/ 1br - ,Sep 25,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5194913410.html,5194913410,2015,9,26
$1999, (Kalorama & Adams Morgan),/ 1br - ,Sep 25,1 Bdr in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233511625.html,5233511625,2015,9,26
$2099, (Kalorama & Adams Morgan),/ 1br - ,Sep 25,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5238015656.html,5238015656,2015,9,26
$2085, (Kalorama & Adams Morgan),/ 1br - ,Sep 25,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227609075.html,5227609075,2015,9,26
$2100, (Kalorama & Adams Morgan),/ 1br - ,Sep 24,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5223149710.html,5223149710,2015,9,26
$2050, (Kalorama & Adams Morgan),/ 1br - ,Sep 24,Sunny Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5237511431.html,5237511431,2015,9,26
$2099, (Kalorama & Adams Morgan),/ 1br - ,Sep 24,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5194240240.html,5194240240,2015,9,26
$2099, (Kalorama & Adams Morgan),/ 1br - 670ft,Sep 24,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5194943094.html,5194943094,2015,9,26
$1955, (Adams Morgan),/ 1br - ,Sep 24,Adams Morgan's Finest!,https://washingtondc.craigslist.org/doc/apa/5236686139.html,5236686139,2015,9,26
$2099, (Kalorama & Adams Morgan),/ 1br - ,Sep 23,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5212291448.html,5212291448,2015,9,26
$1999, (Kalorama & Adams Morgan),/ 1br - ,Sep 23,Sunny Apt in heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5235409824.html,5235409824,2015,9,26
$2100, (Kalorama & Adams Morgan),/ 1br - ,Sep 21,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5195468859.html,5195468859,2015,9,26
$1999, (Adams Morgan / Kalorama Triangle),/ 1br - 450ft,Sep 25,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5229918172.html,5229918172,2015,9,26
$1550, (Adams Morgan),/ 1br - ,Sep 25,$1550 1Br in Adams Morgan- OPEN HOUSE TODAY!!!,https://washingtondc.craigslist.org/doc/apa/5238643082.html,5238643082,2015,9,26
$2099, (Adams Morgan / Kalorama Triangle),/ 1br - ,Sep 25,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5196139422.html,5196139422,2015,9,26
$2600, (Kalorama/Adams Morgan),/ 2br - 1000ft,Sep 25,1 br and 1.5 ba Fully Furnished Condo in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5238584218.html,5238584218,2015,9,26
$2995, (Adams Morgan/Dupont),/ 1br - ,Sep 25,SUPERB 2BR 2Baths in the center of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5238605369.html,5238605369,2015,9,26
$2095, (Adams Morgan and Kalorama Triangle),/ 1br - 500ft,Sep 25,1br - Corner Unit in Adams Morgan/Kalorama w/ New Bathroom,https://washingtondc.craigslist.org/doc/apa/5231542798.html,5231542798,2015,9,26
$1750, (Adams Morgan),/ 3br - 1308ft,Sep 25,"Fantastic 1BR/1BA, Adams Morgan, nice views",https://washingtondc.craigslist.org/doc/apa/5238488465.html,5238488465,2015,9,26
$3740, (Adams Morgan),/ 1br - ,Sep 25,Luxurious 3 bedroom available in the heart of Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5238468432.html,5238468432,2015,9,26
$1999, (Adams Morgan and Kalorama Triangle),/ 2br - 1213ft,Sep 25,1br - Corner Unit in Adams Morgan/Kalorama w/ New Bathroom,https://washingtondc.craigslist.org/doc/apa/5231285174.html,5231285174,2015,9,26
$2521, (Adams Morgan),/ 2br - 1213ft,Sep 25,HUGE 2 bedroom with 2 full bath Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5238323782.html,5238323782,2015,9,26
$2775, (Adams Morgan),/ 1br - ,Sep 25,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5238318245.html,5238318245,2015,9,26
$2049, (Kalorama / Adams Morgan),/ 1br - ,Sep 25,Sunny Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5191748382.html,5191748382,2015,9,26
$1850, (Adams Morgan),/ 1br - ,Sep 25,Beautiful Condo with Spacious Living Room in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5238190948.html,5238190948,2015,9,26
$2100, (Adams Morgan / Kalorama Triangle),/ 1br - ,Sep 25,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5196363530.html,5196363530,2015,9,26
$2095, (Adams Morgan/Kalorama Triangle/Woodly),/ 1br - ,Sep 24,Unbeatable Location in Adams Morgan/Kalorama,https://washingtondc.craigslist.org/doc/apa/5193366198.html,5193366198,2015,9,26
$1999, (DC - Adams Morgan),/ 2br - ,Sep 24,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232765410.html,5232765410,2015,9,26
$1306, (16th St/ short walk 2 Metro/ Columbia Heights / Adams Morgan),/ 1br - ,Sep 24,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5205124177.html,5205124177,2015,9,26
$1329, (Adams Morgan / DuPont Circle),/ 2br - 1213ft,Sep 24,Great studio in DCs most cosmopolitan neighborhood Adams Morgan / DuPont Circle,https://washingtondc.craigslist.org/doc/apa/5231326839.html,5231326839,2015,9,26
$1356, (16th St/ short walk 2 Metro/ Columbia Heights / Adams Morgan),/ 2br - 1213ft,Sep 24,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232990252.html,5232990252,2015,9,26
$2750, (Columbia Heights / Adams Morgan),/ 1br - ,Sep 24,"* 1 Mo FREE * - short walk to METRO -Columbia Heights , Adams Morgan",https://washingtondc.craigslist.org/doc/apa/5233526046.html,5233526046,2015,9,26
$1920, (DuPont Circle / Adams Morgan / Kalorama),/ 1br - ,Sep 24,* 1 Month FREE * DuPont Circle / Kalorama / Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233526530.html,5233526530,2015,9,26
$2775, (Adams Morgan),/ 1br - ,Sep 24,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5237377629.html,5237377629,2015,9,26
$2446, (Adams Morgan),/ 1br - ,Sep 24,HUGE 2 bedroom with 2 full bath Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5237375597.html,5237375597,2015,9,26
$1999, (DC - Adams Morgan),/ 1br - ,Sep 24,1 Bdr Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232433932.html,5232433932,2015,9,26
$2099, (DC - Adams Morgan),/ 1br - ,Sep 24,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5194916940.html,5194916940,2015,9,26
